TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,NEIGHBOURHOOD
Other Theft,2016,6,23,16,0,Kitsilano
Mischief,2016,10,29,19,30,Mount Pleasant
Break and Enter Residential/Other,2016,9,22,2,58,Fairview
Other Theft,2016,7,31,16,32,Arbutus Ridge
Theft of Vehicle,2016,11,15,18,0,Central Business District
Break and Enter Residential/Other,2016,7,20,11,34,Grandview-Woodland
Other Theft,2016,1,4,15,45,Mount Pleasant
Other Theft,2016,1,4,15,14,Mount Pleasant
Offence Against a Person,2016,7,28,,,Riley Park
Break and Enter Residential/Other,2016,2,10,6,14,Victoria-Fraserview
Other Theft,2016,1,4,14,35,Mount Pleasant
Theft from Vehicle,2016,6,21,17,45,Central Business District
Break and Enter Residential/Other,2016,4,16,10,0,Victoria-Fraserview
Other Theft,2016,3,2,19,0,Central Business District
Theft of Vehicle,2016,7,12,19,0,Central Business District
Offence Against a Person,2016,6,26,,,Riley Park
Other Theft,2016,5,14,21,0,Kitsilano
Mischief,2016,7,9,14,50,Riley Park
Break and Enter Residential/Other,2016,2,24,23,30,Grandview-Woodland
Theft from Vehicle,2016,11,21,18,0,Mount Pleasant
Other Theft,2016,3,13,7,55,Central Business District
Break and Enter Residential/Other,2016,1,7,2,55,Central Business District
Break and Enter Residential/Other,2016,7,8,19,0,Grandview-Woodland
Theft from Vehicle,2016,6,20,10,40,Central Business District
Break and Enter Residential/Other,2016,3,18,17,41,Strathcona
Theft of Vehicle,2016,4,1,17,0,Central Business District
Theft from Vehicle,2016,6,14,7,30,Central Business District
Theft from Vehicle,2016,6,11,18,30,Central Business District
Theft from Vehicle,2016,6,5,6,45,Central Business District
Offence Against a Person,2016,5,30,,,Riley Park
Theft from Vehicle,2016,11,8,20,0,Grandview-Woodland
Theft from Vehicle,2016,3,19,23,0,Hastings-Sunrise
Theft from Vehicle,2016,6,1,8,45,Central Business District
Theft from Vehicle,2016,5,23,8,33,Central Business District
Theft from Vehicle,2016,5,13,11,0,Central Business District
Theft from Vehicle,2016,2,21,0,0,Sunset
Mischief,2016,11,16,23,59,Central Business District
Theft of Vehicle,2016,5,14,1,36,Strathcona
Offence Against a Person,2016,6,19,,,Riley Park
Theft of Vehicle,2016,10,7,18,0,Strathcona
Theft from Vehicle,2016,5,6,21,30,Central Business District
Theft from Vehicle,2016,3,21,6,45,Sunset
Other Theft,2016,4,16,0,0,Mount Pleasant
Theft of Vehicle,2016,3,4,10,37,Central Business District
Offence Against a Person,2016,3,29,,,Riley Park
Theft from Vehicle,2016,4,17,9,0,Central Business District
Mischief,2016,8,9,22,4,Central Business District
Break and Enter Residential/Other,2016,9,17,10,0,Grandview-Woodland
Other Theft,2016,10,10,18,0,Mount Pleasant
Other Theft,2016,8,7,5,45,Kitsilano
Offence Against a Person,2016,3,8,,,Riley Park
Other Theft,2016,9,13,13,3,Kitsilano
Other Theft,2016,1,7,19,30,Fairview
Theft from Vehicle,2016,4,16,11,14,Central Business District
Theft from Vehicle,2016,4,15,16,0,Central Business District
Theft from Vehicle,2016,3,16,2,55,Central Business District
Other Theft,2016,11,24,12,19,Hastings-Sunrise
Other Theft,2016,3,4,0,0,Hastings-Sunrise
Theft from Vehicle,2016,12,3,22,0,Renfrew-Collingwood
Other Theft,2016,2,11,15,39,Central Business District
Other Theft,2016,3,5,14,30,Central Business District
Other Theft,2016,5,21,16,0,Hastings-Sunrise
Other Theft,2016,7,19,17,0,Hastings-Sunrise
Theft from Vehicle,2016,3,19,17,10,Central Business District
Break and Enter Residential/Other,2016,8,19,21,15,Marpole
Theft from Vehicle,2016,3,19,13,45,Central Business District
Break and Enter Residential/Other,2016,2,10,18,0,Oakridge
Break and Enter Commercial,2016,1,10,6,30,Fairview
Break and Enter Commercial,2016,12,3,23,0,Fairview
Theft from Vehicle,2016,3,14,16,50,Central Business District
Break and Enter Residential/Other,2016,2,6,6,10,Riley Park
Offence Against a Person,2016,8,7,,,Riley Park
Theft from Vehicle,2016,3,18,6,30,Central Business District
Break and Enter Residential/Other,2016,8,8,0,0,Riley Park
Other Theft,2016,5,30,18,0,West Point Grey
Theft from Vehicle,2016,3,18,15,45,Strathcona
Other Theft,2016,2,8,15,10,Grandview-Woodland
Theft from Vehicle,2016,3,2,16,0,Central Business District
Break and Enter Residential/Other,2016,11,7,10,20,Riley Park
Other Theft,2016,3,15,12,15,Central Business District
Other Theft,2016,8,23,15,0,Grandview-Woodland
Theft from Vehicle,2016,2,28,14,30,Central Business District
Other Theft,2016,4,17,18,0,Grandview-Woodland
Theft from Vehicle,2016,1,13,7,0,Central Business District
Other Theft,2016,7,25,14,0,Grandview-Woodland
Break and Enter Residential/Other,2016,11,15,4,52,Marpole
Offence Against a Person,2016,5,10,,,Riley Park
Break and Enter Residential/Other,2016,8,31,22,34,Central Business District
Theft from Vehicle,2016,11,8,20,30,Strathcona
Theft from Vehicle,2016,3,19,17,50,Central Business District
Other Theft,2016,11,2,13,0,Grandview-Woodland
Break and Enter Residential/Other,2016,5,26,7,21,Central Business District
Break and Enter Residential/Other,2016,11,24,10,45,Central Business District
Offence Against a Person,2016,1,12,,,Riley Park
Theft from Vehicle,2016,9,15,20,0,Kitsilano
Theft from Vehicle,2016,3,19,18,30,Central Business District
Theft from Vehicle,2016,3,27,13,30,Central Business District
Theft from Vehicle,2016,4,2,17,50,Central Business District
Theft from Vehicle,2016,3,31,23,30,Strathcona
Theft from Vehicle,2016,4,9,1,48,Central Business District
Theft from Vehicle,2016,4,16,18,13,Central Business District
Theft from Vehicle,2016,3,5,21,30,Strathcona
Break and Enter Commercial,2016,3,30,5,15,Fairview
Break and Enter Residential/Other,2016,1,1,14,15,Central Business District
Mischief,2016,5,3,14,30,Victoria-Fraserview
Offence Against a Person,2016,8,1,,,Riley Park
Theft from Vehicle,2016,4,7,0,0,Sunset
Break and Enter Commercial,2016,5,10,9,58,Fairview
Offence Against a Person,2016,11,4,,,Riley Park
Other Theft,2016,7,27,8,56,Central Business District
Other Theft,2016,8,13,14,57,Hastings-Sunrise
Other Theft,2016,7,27,0,0,Central Business District
Break and Enter Residential/Other,2016,4,29,12,0,Grandview-Woodland
Theft from Vehicle,2016,7,9,15,0,Sunset
Mischief,2016,11,16,20,15,Killarney
Other Theft,2016,9,8,21,40,Mount Pleasant
Break and Enter Commercial,2016,1,17,5,8,Fairview
Other Theft,2016,2,6,21,0,Kerrisdale
Break and Enter Commercial,2016,1,25,4,50,Fairview
Other Theft,2016,6,30,18,30,West End
Break and Enter Residential/Other,2016,10,20,13,37,Sunset
Offence Against a Person,2016,2,15,,,Riley Park
Break and Enter Residential/Other,2016,8,5,13,44,Sunset
Offence Against a Person,2016,4,7,,,Riley Park
Break and Enter Residential/Other,2016,5,2,11,31,Sunset
Theft from Vehicle,2016,5,12,8,14,Central Business District
Mischief,2016,4,10,22,0,Killarney
Break and Enter Residential/Other,2016,11,18,8,30,Riley Park
Offence Against a Person,2016,11,5,,,Riley Park
Break and Enter Commercial,2016,7,25,8,10,Fairview
Other Theft,2016,9,28,1,0,Riley Park
Theft from Vehicle,2016,3,9,17,0,Kensington-Cedar Cottage
Break and Enter Residential/Other,2016,11,25,9,0,Grandview-Woodland
Break and Enter Commercial,2016,5,15,4,32,Fairview
Other Theft,2016,5,20,20,30,Renfrew-Collingwood
Break and Enter Commercial,2016,6,29,8,14,Fairview
Break and Enter Commercial,2016,3,13,17,20,Fairview
Mischief,2016,8,4,1,40,Sunset
Mischief,2016,11,4,8,38,Sunset
Offence Against a Person,2016,7,12,,,Riley Park
Other Theft,2016,6,17,8,0,Renfrew-Collingwood
Theft from Vehicle,2016,5,28,1,1,Central Business District
Break and Enter Commercial,2016,10,30,17,30,Fairview
Theft from Vehicle,2016,3,28,7,30,Kitsilano
Break and Enter Commercial,2016,7,17,12,0,Fairview
Other Theft,2016,5,15,22,30,Riley Park
Other Theft,2016,8,2,23,30,Central Business District
Other Theft,2016,9,26,10,37,Renfrew-Collingwood
Break and Enter Commercial,2016,11,2,22,30,Fairview
Theft from Vehicle,2016,5,31,6,55,Central Business District
Other Theft,2016,2,15,17,0,Renfrew-Collingwood
Other Theft,2016,5,14,11,0,Renfrew-Collingwood
Break and Enter Residential/Other,2016,4,13,10,25,Oakridge
Other Theft,2016,8,30,2,10,Kitsilano
Theft from Vehicle,2016,6,26,0,0,Central Business District
Mischief,2016,4,27,18,0,Kerrisdale
Other Theft,2016,4,12,8,0,Renfrew-Collingwood
Other Theft,2016,3,16,17,51,Renfrew-Collingwood
Theft from Vehicle,2016,8,5,8,45,Sunset
Theft from Vehicle,2016,8,29,16,30,Kensington-Cedar Cottage
Theft from Vehicle,2016,7,20,14,0,Central Business District
Other Theft,2016,8,14,14,42,Central Business District
Other Theft,2016,7,4,20,0,Central Business District
Theft from Vehicle,2016,5,21,15,7,Mount Pleasant
Other Theft,2016,6,29,20,0,Renfrew-Collingwood
Other Theft,2016,8,31,17,0,South Cambie
Theft from Vehicle,2016,8,26,14,0,Central Business District
Theft from Vehicle,2016,2,12,21,30,Sunset
Theft from Vehicle,2016,9,10,14,30,Central Business District
Theft from Vehicle,2016,4,29,17,0,Sunset
Break and Enter Commercial,2016,3,25,17,0,Central Business District
Theft from Vehicle,2016,10,23,16,20,Central Business District
Offence Against a Person,2016,6,27,,,Riley Park
Theft from Vehicle,2016,3,21,17,0,Sunset
Other Theft,2016,5,30,8,20,Kerrisdale
Other Theft,2016,3,2,8,0,Kerrisdale
Break and Enter Commercial,2016,10,7,21,58,West End
Other Theft,2016,1,17,16,30,Hastings-Sunrise
Break and Enter Residential/Other,2016,6,18,3,29,Killarney
Break and Enter Residential/Other,2016,4,15,3,40,Sunset
Offence Against a Person,2016,6,17,,,Riley Park
Break and Enter Residential/Other,2016,9,2,21,59,Killarney
Break and Enter Residential/Other,2016,4,29,21,0,Killarney
Offence Against a Person,2016,3,11,,,Riley Park
Break and Enter Residential/Other,2016,5,10,17,48,Oakridge
Break and Enter Residential/Other,2016,1,21,15,51,Oakridge
Theft from Vehicle,2016,3,17,18,0,Sunset
Other Theft,2016,8,13,0,0,Renfrew-Collingwood
Offence Against a Person,2016,1,3,,,Riley Park
Offence Against a Person,2016,5,23,,,Riley Park
Break and Enter Residential/Other,2016,4,3,13,23,Grandview-Woodland
Theft from Vehicle,2016,11,6,7,0,Central Business District
Offence Against a Person,2016,6,19,,,Riley Park
Theft from Vehicle,2016,11,6,15,0,Central Business District
Mischief,2016,4,15,0,0,Sunset
Break and Enter Residential/Other,2016,8,14,13,29,Oakridge
Other Theft,2016,3,2,21,50,Central Business District
Other Theft,2016,1,9,18,37,West End
Other Theft,2016,7,5,12,0,Central Business District
Break and Enter Residential/Other,2016,6,20,18,48,Killarney
Other Theft,2016,1,20,15,59,Hastings-Sunrise
Other Theft,2016,1,29,11,0,West End
Mischief,2016,1,14,13,45,Victoria-Fraserview
Mischief,2016,2,19,21,45,Oakridge
Theft from Vehicle,2016,4,21,21,30,Kensington-Cedar Cottage
Other Theft,2016,1,29,11,8,Kensington-Cedar Cottage
Other Theft,2016,2,22,13,8,West End
Mischief,2016,8,29,3,46,Victoria-Fraserview
Break and Enter Commercial,2016,5,13,15,15,Grandview-Woodland
Theft of Vehicle,2016,2,9,8,25,Victoria-Fraserview
Other Theft,2016,2,28,16,44,West End
Other Theft,2016,3,1,14,29,West End
Offence Against a Person,2016,7,21,,,Riley Park
Break and Enter Residential/Other,2016,7,10,13,45,Victoria-Fraserview
Theft from Vehicle,2016,7,10,12,0,Fairview
Theft from Vehicle,2016,4,16,0,0,Kensington-Cedar Cottage
Break and Enter Residential/Other,2016,11,25,13,0,Killarney
Theft from Vehicle,2016,2,20,21,0,Fairview
Other Theft,2016,8,16,14,15,Central Business District
Offence Against a Person,2016,10,2,,,Riley Park
Theft from Vehicle,2016,7,4,0,30,Kensington-Cedar Cottage
Theft from Vehicle,2016,11,13,11,1,Central Business District
Theft from Vehicle,2016,11,13,11,23,Central Business District
Break and Enter Residential/Other,2016,9,13,0,53,Grandview-Woodland
Theft of Vehicle,2016,8,12,9,30,Killarney
Offence Against a Person,2016,1,24,,,Riley Park
Theft from Vehicle,2016,6,18,22,0,Kensington-Cedar Cottage
Other Theft,2016,3,1,21,55,West End
Other Theft,2016,3,4,13,59,West End
Theft from Vehicle,2016,11,29,19,45,Central Business District
Other Theft,2016,4,30,15,40,Hastings-Sunrise
Break and Enter Commercial,2016,6,24,8,48,Hastings-Sunrise
Other Theft,2016,3,21,15,32,West End
Other Theft,2016,4,24,16,10,West End
Break and Enter Commercial,2016,3,4,5,12,West End
Theft from Vehicle,2016,1,25,17,0,Kensington-Cedar Cottage
Offence Against a Person,2016,4,23,,,Riley Park
Break and Enter Commercial,2016,10,31,0,0,West End
Theft of Vehicle,2016,11,7,14,0,Kitsilano
Other Theft,2016,3,5,12,0,Arbutus Ridge
Offence Against a Person,2016,1,17,,,Riley Park
Theft from Vehicle,2016,11,30,7,0,Central Business District
Other Theft,2016,4,24,9,42,Hastings-Sunrise
Other Theft,2016,4,27,10,25,West End
Other Theft,2016,5,9,17,0,West End
Offence Against a Person,2016,7,25,,,Riley Park
Offence Against a Person,2016,9,16,,,Riley Park
Offence Against a Person,2016,11,13,,,Riley Park
Mischief,2016,7,5,20,0,Sunset
Other Theft,2016,4,1,16,45,Mount Pleasant
Theft from Vehicle,2016,3,20,8,26,Hastings-Sunrise
Break and Enter Residential/Other,2016,11,8,18,10,Kerrisdale
Other Theft,2016,5,21,22,0,Mount Pleasant
Other Theft,2016,11,10,16,48,Mount Pleasant
Other Theft,2016,7,27,17,0,Fairview
Other Theft,2016,2,9,12,30,Fairview
Other Theft,2016,6,2,23,0,Mount Pleasant
Other Theft,2016,5,15,20,37,West End
Break and Enter Residential/Other,2016,7,29,5,0,Kerrisdale
Other Theft,2016,2,28,16,6,Central Business District
Other Theft,2016,5,19,16,45,West End
Other Theft,2016,5,21,14,20,West End
Theft from Vehicle,2016,3,13,19,0,Kensington-Cedar Cottage
Other Theft,2016,3,1,12,0,Mount Pleasant
Other Theft,2016,4,24,13,0,Victoria-Fraserview
Other Theft,2016,2,19,9,0,Hastings-Sunrise
Break and Enter Commercial,2016,10,12,6,11,Grandview-Woodland
Theft from Vehicle,2016,10,7,0,0,Marpole
Theft from Vehicle,2016,5,18,4,50,Arbutus Ridge
Other Theft,2016,4,9,9,0,Kitsilano
Theft from Vehicle,2016,9,11,20,0,Marpole
Theft of Vehicle,2016,9,2,22,0,Kitsilano
Theft from Vehicle,2016,2,3,22,0,Renfrew-Collingwood
Other Theft,2016,6,2,15,38,West End
Offence Against a Person,2016,11,30,,,Riley Park
Break and Enter Residential/Other,2016,6,14,20,21,Oakridge
Other Theft,2016,5,13,6,58,Kitsilano
Other Theft,2016,6,11,20,57,West End
Theft from Vehicle,2016,5,26,22,0,Kensington-Cedar Cottage
Offence Against a Person,2016,8,14,,,Riley Park
Other Theft,2016,9,10,20,30,Renfrew-Collingwood
Other Theft,2016,6,29,10,27,West End
Other Theft,2016,7,1,13,52,West End
Theft of Vehicle,2016,7,15,2,0,Kitsilano
Break and Enter Residential/Other,2016,10,21,9,19,Kerrisdale
Theft of Vehicle,2016,9,9,23,0,Renfrew-Collingwood
Other Theft,2016,7,3,19,25,West End
Mischief,2016,1,10,19,56,Kerrisdale
Other Theft,2016,7,15,19,25,West End
Theft from Vehicle,2016,3,7,17,0,Kensington-Cedar Cottage
Other Theft,2016,8,15,9,39,West End
Theft from Vehicle,2016,8,6,21,0,Kensington-Cedar Cottage
Other Theft,2016,8,21,11,30,West End
Other Theft,2016,9,11,17,16,West End
Other Theft,2016,9,24,12,17,West End
Other Theft,2016,10,29,15,44,West End
Theft from Vehicle,2016,5,31,17,20,Fairview
Theft from Vehicle,2016,7,13,21,0,Kensington-Cedar Cottage
Theft from Vehicle,2016,5,22,22,0,Killarney
Offence Against a Person,2016,8,20,,,Riley Park
Other Theft,2016,11,4,17,45,West End
Offence Against a Person,2016,8,4,,,Riley Park
Other Theft,2016,11,5,17,35,West End
Other Theft,2016,1,8,16,0,Kitsilano
Other Theft,2016,11,11,16,20,West End
Break and Enter Residential/Other,2016,10,1,20,29,Oakridge
Other Theft,2016,11,19,19,38,West End
Break and Enter Commercial,2016,4,11,6,31,Grandview-Woodland
Other Theft,2016,7,5,12,10,Mount Pleasant
Theft from Vehicle,2016,3,12,18,30,Marpole
Break and Enter Residential/Other,2016,3,26,4,2,Oakridge
Break and Enter Residential/Other,2016,6,10,18,0,Oakridge
Other Theft,2016,11,25,17,27,West End
Theft from Vehicle,2016,4,2,1,0,Kerrisdale
Offence Against a Person,2016,6,17,,,Riley Park
Theft from Vehicle,2016,7,8,19,0,Kerrisdale
Break and Enter Residential/Other,2016,8,12,21,30,Victoria-Fraserview
Offence Against a Person,2016,6,11,,,Riley Park
Theft from Vehicle,2016,3,19,18,30,Kerrisdale
Theft of Vehicle,2016,3,8,19,30,Central Business District
Break and Enter Residential/Other,2016,7,23,22,30,Sunset
Break and Enter Residential/Other,2016,10,26,20,32,Sunset
Other Theft,2016,8,3,16,5,West End
Theft of Vehicle,2016,9,23,23,40,Mount Pleasant
Theft from Vehicle,2016,5,1,22,0,Kensington-Cedar Cottage
Other Theft,2016,8,23,17,0,Kensington-Cedar Cottage
Break and Enter Commercial,2016,9,15,15,30,Grandview-Woodland
Other Theft,2016,2,6,13,12,West End
Other Theft,2016,8,15,16,55,West End
Theft from Vehicle,2016,1,20,14,0,Kensington-Cedar Cottage
Theft from Vehicle,2016,8,30,21,30,West End
Theft from Vehicle,2016,10,4,20,0,West End
Break and Enter Residential/Other,2016,10,8,6,0,Killarney
Theft from Vehicle,2016,4,12,22,0,Shaughnessy
Other Theft,2016,8,26,8,0,Riley Park
Other Theft,2016,7,19,11,6,West End
Other Theft,2016,1,15,13,0,Mount Pleasant
Other Theft,2016,9,18,18,40,Mount Pleasant
Offence Against a Person,2016,2,1,,,Riley Park
Theft of Vehicle,2016,10,17,18,0,Mount Pleasant
Offence Against a Person,2016,1,22,,,Riley Park
Theft from Vehicle,2016,6,26,0,30,Kensington-Cedar Cottage
Theft from Vehicle,2016,6,24,10,0,Kensington-Cedar Cottage
Other Theft,2016,7,2,8,0,Kitsilano
Theft from Vehicle,2016,5,21,10,0,Kensington-Cedar Cottage
Break and Enter Residential/Other,2016,11,27,4,50,Sunset
Other Theft,2016,9,17,16,0,Kitsilano
Theft from Vehicle,2016,10,4,22,0,West End
Offence Against a Person,2016,10,16,,,Riley Park
Theft from Vehicle,2016,4,12,23,0,Renfrew-Collingwood
Theft from Vehicle,2016,6,4,10,15,Hastings-Sunrise
Break and Enter Commercial,2016,1,5,20,0,Grandview-Woodland
Theft from Vehicle,2016,1,25,20,0,Hastings-Sunrise
Offence Against a Person,2016,5,3,,,Riley Park
Theft from Vehicle,2016,6,27,6,0,Hastings-Sunrise
Offence Against a Person,2016,1,24,,,Riley Park
Break and Enter Residential/Other,2016,9,16,3,0,Killarney
Other Theft,2016,7,12,15,0,West End
Other Theft,2016,8,30,10,57,West End
Theft from Vehicle,2016,11,24,22,0,Central Business District
Other Theft,2016,2,20,13,57,Central Business District
Theft from Vehicle,2016,12,4,13,0,Fairview
Theft from Vehicle,2016,1,25,7,0,Fairview
Break and Enter Residential/Other,2016,11,1,7,0,Killarney
Other Theft,2016,10,17,4,50,Kitsilano
Break and Enter Commercial,2016,2,9,2,30,Grandview-Woodland
Theft from Vehicle,2016,1,24,23,0,Fairview
Break and Enter Commercial,2016,1,14,9,32,Grandview-Woodland
Break and Enter Commercial,2016,2,13,16,0,Grandview-Woodland
Break and Enter Commercial,2016,2,23,12,5,Grandview-Woodland
Break and Enter Commercial,2016,6,15,15,0,Grandview-Woodland
Break and Enter Commercial,2016,8,3,2,15,Grandview-Woodland
Other Theft,2016,2,18,17,7,Central Business District
Break and Enter Commercial,2016,11,29,5,25,Grandview-Woodland
Other Theft,2016,7,18,1,40,Central Business District
Mischief,2016,9,23,20,58,Sunset
Other Theft,2016,11,18,14,36,South Cambie
Theft from Vehicle,2016,7,9,14,30,Central Business District
Other Theft,2016,8,12,17,10,Central Business District
Mischief,2016,8,1,2,21,Oakridge
Break and Enter Commercial,2016,4,16,23,30,Victoria-Fraserview
Theft from Vehicle,2016,7,25,5,10,Kensington-Cedar Cottage
Theft from Vehicle,2016,3,7,22,0,Renfrew-Collingwood
Other Theft,2016,1,19,10,35,West End
Other Theft,2016,5,12,14,36,West End
Theft from Vehicle,2016,10,8,6,0,Hastings-Sunrise
Break and Enter Commercial,2016,2,28,0,9,Kensington-Cedar Cottage
Break and Enter Commercial,2016,4,24,3,57,Kensington-Cedar Cottage
Break and Enter Commercial,2016,8,11,0,10,Kensington-Cedar Cottage
Other Theft,2016,11,16,22,30,South Cambie
Theft from Vehicle,2016,9,8,0,0,Mount Pleasant
Break and Enter Commercial,2016,3,11,0,0,Grandview-Woodland
Offence Against a Person,2016,5,22,,,Riley Park
Break and Enter Commercial,2016,4,2,5,7,Grandview-Woodland
Theft of Vehicle,2016,1,20,18,5,Sunset
Break and Enter Commercial,2016,10,23,6,41,Grandview-Woodland
Break and Enter Residential/Other,2016,7,3,20,18,Victoria-Fraserview
Other Theft,2016,3,16,11,55,Mount Pleasant
Other Theft,2016,4,15,14,16,Mount Pleasant
Break and Enter Commercial,2016,12,5,9,14,Grandview-Woodland
Other Theft,2016,5,13,15,38,Mount Pleasant
Break and Enter Commercial,2016,3,14,15,0,Grandview-Woodland
Other Theft,2016,5,15,12,0,Mount Pleasant
Other Theft,2016,3,14,10,47,Central Business District
Offence Against a Person,2016,1,9,,,Riley Park
Break and Enter Residential/Other,2016,5,2,13,35,Victoria-Fraserview
Other Theft,2016,5,27,22,0,Hastings-Sunrise
Other Theft,2016,8,9,9,57,West End
Other Theft,2016,6,30,17,30,Central Business District
Other Theft,2016,5,17,16,59,Mount Pleasant
Break and Enter Residential/Other,2016,1,9,10,0,Victoria-Fraserview
Other Theft,2016,6,11,17,29,West End
Break and Enter Residential/Other,2016,4,16,12,0,Victoria-Fraserview
Other Theft,2016,5,20,15,53,Mount Pleasant
Other Theft,2016,6,2,15,33,Mount Pleasant
Other Theft,2016,10,15,6,45,South Cambie
Other Theft,2016,7,12,17,0,West End
Theft of Vehicle,2016,5,4,20,30,Marpole
Offence Against a Person,2016,4,22,,,Riley Park
Theft of Vehicle,2016,5,15,2,0,Mount Pleasant
Other Theft,2016,5,20,20,27,Fairview
Other Theft,2016,8,16,20,30,South Cambie
Other Theft,2016,10,11,7,30,South Cambie
Other Theft,2016,4,20,0,15,Central Business District
Break and Enter Residential/Other,2016,9,5,16,4,Grandview-Woodland
Other Theft,2016,8,13,2,0,South Cambie
Mischief,2016,5,24,9,15,Musqueam
Theft from Vehicle,2016,9,25,21,0,Central Business District
Break and Enter Residential/Other,2016,1,5,8,57,Sunset
Theft from Vehicle,2016,7,16,12,38,Central Business District
Other Theft,2016,6,7,12,39,Mount Pleasant
Theft from Vehicle,2016,7,3,19,45,Stanley Park
Theft of Vehicle,2016,11,25,22,30,Riley Park
Other Theft,2016,7,2,18,30,Mount Pleasant
Break and Enter Commercial,2016,2,13,0,0,West End
Break and Enter Residential/Other,2016,6,2,21,0,Mount Pleasant
Other Theft,2016,7,5,13,46,Mount Pleasant
Theft from Vehicle,2016,4,22,21,7,Central Business District
Other Theft,2016,2,16,16,52,Central Business District
Theft from Vehicle,2016,3,25,19,0,Central Business District
Offence Against a Person,2016,8,19,,,Riley Park
Theft of Vehicle,2016,3,13,16,45,Victoria-Fraserview
Break and Enter Residential/Other,2016,11,7,8,29,Kerrisdale
Mischief,2016,4,8,8,59,Sunset
Offence Against a Person,2016,6,13,,,Riley Park
Offence Against a Person,2016,8,4,,,Riley Park
Mischief,2016,10,18,16,2,Victoria-Fraserview
Mischief,2016,3,25,21,0,Victoria-Fraserview
Break and Enter Residential/Other,2016,2,19,17,0,Oakridge
Mischief,2016,2,2,9,30,Victoria-Fraserview
Other Theft,2016,9,23,7,0,South Cambie
Theft from Vehicle,2016,8,14,23,0,Mount Pleasant
Other Theft,2016,7,17,15,45,Mount Pleasant
Break and Enter Residential/Other,2016,3,22,0,0,Grandview-Woodland
Theft from Vehicle,2016,4,20,16,30,Mount Pleasant
Offence Against a Person,2016,5,11,,,Riley Park
Break and Enter Residential/Other,2016,2,11,15,30,Killarney
Break and Enter Commercial,2016,12,4,21,0,Fairview
Other Theft,2016,8,5,15,28,Mount Pleasant
Mischief,2016,9,24,0,30,Killarney
Theft of Vehicle,2016,1,22,23,0,Riley Park
Other Theft,2016,8,17,12,25,West End
Other Theft,2016,8,28,20,10,South Cambie
Other Theft,2016,7,12,10,5,South Cambie
Break and Enter Residential/Other,2016,9,11,8,0,Victoria-Fraserview
Other Theft,2016,9,4,17,49,West End
Break and Enter Commercial,2016,5,31,4,3,Fairview
Other Theft,2016,8,14,16,19,Mount Pleasant
Break and Enter Residential/Other,2016,4,8,21,16,Oakridge
Break and Enter Residential/Other,2016,3,8,11,0,Oakridge
Theft from Vehicle,2016,1,17,22,30,West End
Other Theft,2016,9,10,12,40,Mount Pleasant
Theft from Vehicle,2016,6,13,16,0,Mount Pleasant
Theft from Vehicle,2016,3,11,14,0,Stanley Park
Other Theft,2016,10,9,22,36,West End
Break and Enter Residential/Other,2016,4,1,9,30,Victoria-Fraserview
Other Theft,2016,9,16,18,30,Mount Pleasant
Theft from Vehicle,2016,7,30,18,30,Central Business District
Other Theft,2016,9,19,16,30,Mount Pleasant
Offence Against a Person,2016,7,7,,,Riley Park
Break and Enter Commercial,2016,1,27,1,48,Fairview
Offence Against a Person,2016,5,14,,,Riley Park
Mischief,2016,9,24,19,0,Oakridge
Theft from Vehicle,2016,10,26,14,0,Central Business District
Theft from Vehicle,2016,8,30,17,0,Central Business District
Theft from Vehicle,2016,8,28,11,0,Central Business District
Offence Against a Person,2016,5,20,,,Riley Park
Break and Enter Commercial,2016,6,27,2,0,Kensington-Cedar Cottage
Other Theft,2016,9,26,17,0,Mount Pleasant
Theft from Vehicle,2016,8,16,9,30,Central Business District
Other Theft,2016,7,4,1,26,Central Business District
Break and Enter Residential/Other,2016,8,1,12,0,West End
Theft from Vehicle,2016,6,14,11,0,Central Business District
Theft from Vehicle,2016,1,25,17,0,Mount Pleasant
Theft from Vehicle,2016,10,26,0,0,Mount Pleasant
Other Theft,2016,10,1,20,33,Mount Pleasant
Theft from Vehicle,2016,6,13,7,30,Central Business District
Theft from Vehicle,2016,2,11,0,1,West End
Other Theft,2016,10,20,11,20,Mount Pleasant
Theft from Vehicle,2016,3,12,18,30,Killarney
Theft from Vehicle,2016,6,2,13,30,Central Business District
Theft from Vehicle,2016,5,24,16,30,Central Business District
Theft from Vehicle,2016,5,17,12,0,Central Business District
Theft from Vehicle,2016,3,21,19,0,Killarney
Break and Enter Residential/Other,2016,1,15,19,0,Dunbar-Southlands
Theft from Vehicle,2016,9,4,18,0,Mount Pleasant
Theft from Vehicle,2016,5,17,8,30,Central Business District
Other Theft,2016,7,21,13,0,South Cambie
Other Theft,2016,7,10,1,0,Central Business District
Break and Enter Residential/Other,2016,8,2,16,0,Victoria-Fraserview
Other Theft,2016,7,11,12,18,South Cambie
Mischief,2016,8,20,4,11,Victoria-Fraserview
Other Theft,2016,2,13,18,22,Central Business District
Other Theft,2016,7,2,13,30,South Cambie
Other Theft,2016,10,23,13,17,Mount Pleasant
Theft from Vehicle,2016,10,7,21,0,Mount Pleasant
Theft from Vehicle,2016,4,6,0,0,Mount Pleasant
Theft from Vehicle,2016,7,29,23,0,Mount Pleasant
Other Theft,2016,4,25,21,0,Renfrew-Collingwood
Theft from Vehicle,2016,1,19,8,0,Mount Pleasant
